date,time,temperature,humidity,windSpeed,precipitationProbability
2024-10-03,19:30:00,17.88,81,2.63,0
2024-10-03,19:40:00,17.69,83,2.5,0
2024-10-03,19:50:00,17.5,85,2.38,0
2024-10-03,20:00:00,17.38,87,2.31,0
2024-10-03,20:10:00,17.31,84,2.38,0
2024-10-03,20:20:00,17.19,85,2.38,0
2024-10-03,20:30:00,17.13,85,2.31,0
2024-10-03,20:40:00,17.19,83,1.81,0
2024-10-03,20:50:00,17.13,84,1.69,0
2024-10-03,21:00:00,17,85,1.5,0
2024-10-03,21:10:00,16.88,86,1.5,0
2024-10-03,21:20:00,16.81,86,1.5,0
2024-10-03,21:30:00,16.88,84,1.88,0
2024-10-03,21:40:00,16.81,84,1.88,0
2024-10-03,21:50:00,16.69,84,2,0
2024-10-03,22:00:00,16.63,85,2.13,0
2024-10-03,22:10:00,16.5,85,2.13,0
2024-10-03,22:20:00,16.38,86,1.88,0
2024-10-03,22:30:00,16.19,87,1.81,0
2024-10-03,22:40:00,16,91,1.63,0
2024-10-03,22:50:00,15.88,91,1.63,0
2024-10-03,23:00:00,15.69,93,1.5,0
2024-10-03,23:10:00,15.63,94,1.5,0
2024-10-03,23:20:00,15.5,94,1.38,0
2024-10-03,23:31:00,15.63,89,0.38,0
2024-10-03,23:41:00,15.5,89,0.5,0
2024-10-03,23:51:00,15.38,90,0.63,0
2024-10-04,00:01:00,15.31,91,0.63,0
2024-10-04,00:11:00,15.19,91,0.69,0
2024-10-04,00:21:00,15.19,92,0.81,0
2024-10-04,00:31:00,15.19,90,0.5,0
2024-10-04,00:41:00,15.13,91,0.5,0
2024-10-04,00:51:00,15,92,0.5,0
2024-10-04,01:01:00,14.88,92,0.5,0
2024-10-04,01:11:00,14.81,93,0.5,0
2024-10-04,01:21:00,14.69,93,0.63,0
2024-10-04,01:31:00,14.63,93,0.69,0
2024-10-04,01:41:00,14.81,88,1.5,0
2024-10-04,01:51:00,14.69,88,1.69,0
2024-10-04,02:01:00,14.63,87,1.88,0
2024-10-04,02:11:00,14.5,87,2,0
2024-10-04,02:21:00,14.38,88,1.88,0
2024-10-04,02:31:00,14.31,88,1.88,0
2024-10-04,02:41:00,14.19,88,1.81,0
2024-10-04,02:51:00,13.88,89,1.69,0
2024-10-04,03:01:00,13.88,90,1.63,0
2024-10-04,03:11:00,13.69,90,1.5,0
2024-10-04,03:21:00,13.63,91,1.5,0
2024-10-04,03:31:00,13.88,90,1.81,0
2024-10-04,03:41:00,13.69,90,1.81,0
2024-10-04,03:51:00,13.63,91,1.69,0
2024-10-04,04:01:00,13.5,92,1.69,0
2024-10-04,04:11:00,13.38,92,1.63,0
2024-10-04,04:21:00,13.38,93,1.5,0
2024-10-04,04:31:00,13.31,93,1.31,0
2024-10-04,04:41:00,13.19,94,1.13,0
2024-10-04,04:51:00,13.13,94,1.13,0
2024-10-04,05:01:00,13,94,0.81,0
2024-10-04,05:11:00,13,95,0.69,0
2024-10-04,05:21:00,12.88,95,0.69,0
2024-10-04,05:31:00,12.81,95,0.69,0
2024-10-04,05:41:00,12.81,95,0.69,0
2024-10-04,05:51:00,12.69,95,0.69,0
2024-10-04,06:01:00,13.13,94,1.19,0
2024-10-04,06:11:00,13,94,1.19,0
2024-10-04,06:21:00,12.88,95,1.19,0
2024-10-04,06:31:00,12.88,95,1.19,0
2024-10-04,06:41:00,13,95,1.13,0
2024-10-04,06:51:00,13,95,1,0
